Blut,Blood
Dunkel,Dark
Trocken,Dry
Ohr,Ear
Erde,Earth
Auge,Eye
Gesicht,Face
Haare,Hair
Glücklich,Happy
Ziege,Goat
Fisch,Fish
Eis,Ice
Springen,Jump
Berg,Mountain
Seite,Page
Traurig,Sad
Geheimnis,Secret
Stark,Strong
Sonne,Sun
Tisch,Table
Regenschirm,Umbrella
Frau,Woman
Suppe,Soup
Schaf,Sheep
Schere,Scissors
Schwester,Sister
Bruder,Brother
Sicher,Safe
Rot,Red
Stift,Pen
